Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pageranks,Authority,Hub,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
@kenklippenstein,@kenklippenstein,"<[2020-09-26T15:47:36.024Z, 2020-09-26T15:47:36.895Z, 2020-09-26T15:48:52.588Z, 2020-09-26T15:48:55.307Z, 2020-09-26T15:49:09.970Z, 2020-09-26T15:49:14.978Z, 2020-09-26T15:49:44.442Z, 2020-09-26T15:50:14.221Z, 2020-09-26T15:51:07.145Z, 2020-09-26T15:51:16.746Z, 2020-09-26T15:51:23.977Z, 2020-09-26T15:52:30.002Z, 2020-09-26T15:52:54.020Z, 2020-09-26T15:53:01.596Z, 2020-09-26T15:53:18.294Z, 2020-09-26T15:53:19.896Z, 2020-09-26T15:53:28.177Z, 2020-09-26T15:53:45.967Z, 2020-09-26T15:54:02.452Z, 2020-09-26T15:54:33.642Z, 2020-09-26T15:55:33.677Z]>",User,,,,,,,Tue Jul 30 20:41:01 CDT 2013,,,,Reporter @thenation. SEND TIPS VIA SIGNAL: 202-510-1268. IG: https://www.instagram.com/kenklipp/,,http://pbs.twimg.com/profile_images/1297219584437649409/dFLJXkpn_bigger.jpg,6125,306574,Ken Klippenstein,"Washington, DC",,,,44,1,45,44,21,65,0.005883,0.082823,0.040849,14,2,0.571429,0.625,8
@malennac,@malennac,<[2020-09-26T15:47:36.895Z]>,User,,,,,,,Fri Jun 12 18:17:25 CDT 2009,,,,"Malenna, 25. Vejo mais séries do que deveria.
We see things they'll never see.
#MCFC #ForaLeco",,http://pbs.twimg.com/profile_images/1276270963496308737/YWS2RB9L_bigger.jpg,277,598,Malenna,"Fortaleza, Brasil",,,,0,3,3,0,3,3,0.000678,0,0.047677,14,2,0.625,0.7,0
@thenycbuckeye,@thenycbuckeye,<[2020-09-26T15:47:41.966Z]>,User,,,,,,,Tue Jun 17 22:38:10 CDT 2008,,,,thirty something nerd from Ohio - now in Queens - married - Dudeist Priest - he/him - RWBY - Warhammer 40K - Batman - Horror movies,,http://pbs.twimg.com/profile_images/1305337940919365632/ZZNoaFwF_bigger.jpg,1071,1014,Sloppity Bilepiper,Queens,,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@radheshyamsata1,@radheshyamsata1,<[2020-09-26T15:47:46.775Z]>,User,,,,,,,Fri May 01 03:05:33 CDT 2020,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,36,0,RADHESHYAM Satapathy,,,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@wheelergrayson,@wheelergrayson,<[2020-09-26T15:47:47.186Z]>,User,,,,,,,Tue Sep 08 14:39:50 CDT 2020,,,,,,http://pbs.twimg.com/profile_images/1306723967437242368/Ozyk3C6x_bigger.jpg,14,5,Grayson Wheeler,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@nodought,@nodought,"<[2020-09-26T15:47:47.457Z, 2020-09-26T15:54:09.479Z]>",User,,,,,,,Fri Jun 20 00:02:30 CDT 2014,,,,,,http://pbs.twimg.com/profile_images/1255341076828872706/4p1bRVBE_bigger.jpg,23,7,Jack,,,,,0,3,3,0,4,4,0.000678,0,0.042169,22,2,0.714286,0.8,0
@enn_nafnlaus,@enn_nafnlaus,"<[2020-09-26T15:47:47.457Z, 2020-09-26T15:51:51.837Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,2,0,2,0.001015,0.003479,0,22,0,0,0,0
@anaiisabeel,@anaiisabeel,<[2020-09-26T15:47:52.832Z]>,User,,,,,,,Thu Jun 01 01:21:11 CDT 2017,,,,🐾,,http://pbs.twimg.com/profile_images/1039614611765571595/FFoQYaO6_bigger.jpg,125,34,Ana Isabel ❤️,"Puerto Rico, USA",,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@fett_mr,@fett_mr,<[2020-09-26T15:47:53.400Z]>,User,,,,,,,Wed Dec 11 13:01:03 CST 2019,,,,Just a simple man trying to make my way in the universe just like my dad.,,http://pbs.twimg.com/profile_images/1204839296454348800/2kiM39S2_bigger.jpg,8,0,MrBobaFett,,,,,0,2,2,0,2,2,0.000678,0,0.040988,18,2,0.625,0.7,0
@jkass99,@jkass99,"<[2020-09-26T15:47:53.400Z, 2020-09-26T15:50:35.217Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,2,0,2,0.001256,0.003379,0,18,0,0,0,0
@rudemaan66,@rudemaan66,<[2020-09-26T15:47:54.954Z]>,User,,,,,,,Wed Sep 18 11:53:45 CDT 2013,,,,,,http://pbs.twimg.com/profile_images/689493764134436864/y3BWebSZ_bigger.jpg,284,33,RVA,S.F.,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@knafoyoram,@knafoyoram,<[2020-09-26T15:47:57.665Z]>,User,,,,,,,Fri Nov 30 20:20:51 CST 2012,,,,,,http://pbs.twimg.com/profile_images/483968825369821185/erERZtgr_bigger.jpeg,622,117,Yoram Knafo,,,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@tilmanwinkler,@tilmanwinkler,"<[2020-09-26T15:47:57.758Z, 2020-09-26T15:49:12.127Z, 2020-09-26T15:53:33.337Z, 2020-09-26T15:55:23.951Z, 2020-09-26T15:55:30.479Z]>",User,,,,,,,Fri Oct 14 14:48:53 CDT 2011,,,,Here for things related to BEVs and sustainability. Lawyer by profession.,,http://pbs.twimg.com/profile_images/542777055905992704/1IH1FvPt_bigger.jpeg,3846,2199,Tilman Winkler 🔋🔌,Freiburg,,,,1,8,9,1,13,14,0.000823,0.001753,0.086148,4,2,0.875,0.928571,3
@matagarich,@matagarich,<[2020-09-26T15:47:59.685Z]>,User,,,,,,,Tue Nov 05 21:41:07 CST 2019,,,,Cinco De Junio De Dos Mil Viente💀,,http://pbs.twimg.com/profile_images/1299730621330120704/CpZK970Q_bigger.jpg,28,33,R R,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@clayphillips11,@clayphillips11,<[2020-09-26T15:48:01.449Z]>,User,,,,,,,Tue Nov 15 12:49:07 CST 2011,,,,"UAH Engineering Alum /
Natural Born Yeeter",,http://pbs.twimg.com/profile_images/1243993270713188354/YEHVUsnM_bigger.jpg,251,256,Clay Phillips,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@edcardona4,@edcardona4,,User,,,,,,,Fri Dec 22 06:34:28 CST 2017,,,,"Science enthusiast, idea generator, solution oriented, inventor.  Product Development Sleeping Giant.  🤓",,http://pbs.twimg.com/profile_images/948546626762739712/O29pwoB8_bigger.jpg,214,36,Ed Cardona,"San Juan,  Puerto Rico",,,,0,2,2,0,2,2,0.000678,0,0.044335,14,2,0.625,0.7,0
@ayyy_g,@ayyy_g,<[2020-09-26T15:48:04.337Z]>,User,,,,,,,Wed Aug 09 18:51:12 CDT 2017,,,,pain.,,http://pbs.twimg.com/profile_images/1301534233475850241/DGiTi28h_bigger.jpg,83,28,"!¡ᔑ╎リ",,,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@shookethbitj,@shookethbitj,<[2020-09-26T15:48:07.946Z]>,User,,,,,,,Fri Mar 20 23:04:11 CDT 2020,,,,Media sambat ▪,,http://pbs.twimg.com/profile_images/1308005624253300737/TkgVJOWO_bigger.jpg,80,48,F.A.ck,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@therealmrlahey,@therealmrlahey,<[2020-09-26T15:48:08.448Z]>,User,,,,,,,Mon Jul 22 11:29:21 CDT 2019,,,,Born and raised in the 🌲603🌲 UNH ‘19 ✏️Mechanical Engineering⚙️ Instagram: @sean_lahey ⛷🏌🏼‍♂️⛹🏼‍♂️🚣🏻‍♂️🎣🚴🏻‍♂️,,http://pbs.twimg.com/profile_images/1153342141520916483/5zFWu196_bigger.jpg,288,10,Sean,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@fudetako,@fudetako,<[2020-09-26T15:48:08.626Z]>,User,,,,,,,Wed Mar 21 16:54:45 CDT 2018,,,,"Yo! I'm takoaya, an upcoming Vtuber!
Follow for memes and updatea on my channel.
Art Blog: @Takoaya1",,http://pbs.twimg.com/profile_images/1306966916582518785/D9liAof8_bigger.jpg,50,39,Lazy Tako🐙,,,,,0,3,3,0,3,3,0.000678,0,0.047822,14,2,0.625,0.7,0
@llangernyw,@llangernyw,<[2020-09-26T15:48:13.178Z]>,User,,,,,,,Wed Jul 15 19:14:52 CDT 2020,,,,"I have a deep rooted belief in the Constitution.  Bark to core, I am a fully behind the Executive branch.  Trees approved this message.",,http://pbs.twimg.com/profile_images/1283606499005280263/C2XinTsR_bigger.jpg,134,27,Bristlecon Pine,,,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@aguirre_mb,@aguirre_mb,<[2020-09-26T15:48:13.677Z]>,User,,,,,,,Wed Aug 14 20:29:25 CDT 2013,,,,El hombre adecuado en el sitio equivocado puede cambiar el rumbo del mundo,,http://pbs.twimg.com/profile_images/1174504684993830912/qWjitB8H_bigger.jpg,148,150,"el Flaco, pero no de esos flacos",San Miguel de Tucumán,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@blawzy_,@blawzy_,<[2020-09-26T15:48:14.250Z]>,User,,,,,,,Fri Dec 15 06:36:22 CST 2017,,,,._.,,http://pbs.twimg.com/profile_images/1307363913483382784/yhZBvg1O_bigger.jpg,62,202,❅,7.5.01,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@ben_310,@ben_310,<[2020-09-26T15:48:16.207Z]>,User,,,,,,,Mon Apr 04 11:14:10 CDT 2011,,,,"Full time trader (10 years) Ask me anything. Asset Management (Stocks, Options, crypto). Optimal Nutrition/Health. Other Interests: BJJ, Poker, Tennis, MMA",,http://pbs.twimg.com/profile_images/476908897522159616/Pddrrcsv_bigger.jpeg,169,240,Ben,"Las Vegas, Nevada",,,,0,2,2,0,2,2,0.000678,0,0.041203,20,2,0.625,0.7,0
@garyblack00,@garyblack00,"<[2020-09-26T15:48:16.207Z, 2020-09-26T15:49:49.063Z, 2020-09-26T15:51:07.656Z, 2020-09-26T15:52:28.147Z]>",User,,,,,,,Wed Aug 14 13:18:14 CDT 2019,,,,"Former CEO Aegon Asset Mgmt US, Co-CIO Calamos, CIO Equities Goldman Sachs Asset Mgmt, CEO/CIO Janus. My views are my own and don’t represent investment advice.",,http://pbs.twimg.com/profile_images/1161704927107923969/afKADQ7k_bigger.jpg,91,16186,Gary Black,"Chicago, IL",,,,5,1,6,5,2,7,0.001401,0.008579,0.040849,20,2,0.571429,0.625,0
@iduplat,@iduplat,<[2020-09-26T15:48:33.313Z]>,User,,,,,,,Thu Jul 23 23:32:33 CDT 2009,,,,May the force be with you ⚜️,,http://pbs.twimg.com/profile_images/1135704013549264900/wUo4-bIL_bigger.jpg,165,183,Lucas Duplat,Braziill,,,,0,3,3,0,3,3,0.000678,0,0.047822,14,2,0.625,0.7,0
@hwfeinstein,@hwfeinstein,<[2020-09-26T15:48:37.225Z]>,User,,,,,,,Fri Aug 07 17:59:22 CDT 2015,,,,"No “job”, semi-retired and loves all things Tesla, support 2A, and GoT. 🚘Model Y Performance owner! Space X —🇮🇱 USAF-Ret KAG IFBAP",,http://pbs.twimg.com/profile_images/1307538333103316993/nvqz03Qd_bigger.jpg,1690,1009,🔋☠️DoesitMatter if ICE dies?🔋👻,"Washington, USA",,,,0,3,3,0,3,3,0.000678,0,0.042462,22,2,0.8,0.875,0
@munroassociates,@munroassociates,"<[2020-09-26T15:48:37.225Z, 2020-09-26T15:50:17.267Z, 2020-09-26T15:51:23.652Z, 2020-09-26T15:52:23.249Z, 2020-09-26T15:52:47.759Z, 2020-09-26T15:53:33.337Z, 2020-09-26T15:55:23.951Z]>",User,,,,,,,,,,,,,,,,,,,,,6,0,6,8,0,8,0.07126,0.010588,0,22,0,0,0,0
@davidsilva20056,@davidsilva20056,<[2020-09-26T15:48:37.338Z]>,User,,,,,,,Fri Sep 13 13:05:47 CDT 2019,,,,,,http://pbs.twimg.com/profile_images/1284993646002151425/ZDzsu_91_bigger.jpg,59,29,David Silva,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@pageman,@pageman,<[2020-09-26T15:48:38.843Z]>,User,,,,,,,Fri Nov 24 10:11:28 CST 2006,,,,"Aspiring Social Distancer - w/o books, no revolution ever succeeds-Gary North PayNym: +noisybutterfly636
http://tippin.me/@pageman",,http://pbs.twimg.com/profile_images/1164842814485622785/Dj8UhlIg_bigger.jpg,5005,4039,Paul Pajo 🧢 [Jan/3➞₿ 🔑∎] #Insulin4All {#HODL},"SW of Benham Bank, Benham Rise",,,,0,3,3,0,3,3,0.000678,0,0.040988,5,2,0.666667,0.75,0
@default_friend,@default_friend,<[2020-09-26T15:48:38.843Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000871,0.00169,0,5,0,0,0,0
@neuralink,@neuralink,<[2020-09-26T15:48:38.843Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000871,0.00169,0,5,0,0,0,0
@itsaikidas,@itsaikidas,<[2020-09-26T15:48:40.307Z]>,User,,,,,,,Mon Jun 03 18:25:24 CDT 2019,,,,I enjoy playing video games competitively,,http://pbs.twimg.com/profile_images/1286530680751497223/rCdC1zpW_bigger.jpg,133,19,Aikidas,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@aalexanderr504,@aalexanderr504,<[2020-09-26T15:48:40.457Z]>,User,,,,,,,Thu Oct 11 23:29:19 CDT 2018,,,,full fucking send,,http://pbs.twimg.com/profile_images/1261654711222046720/IulvfK1I_bigger.jpg,78,30,Jordin,"Acworth, GA",,,,0,3,3,0,3,3,0.000678,0,0.047822,14,2,0.625,0.7,0
@reliefpitching,@reliefpitching,<[2020-09-26T15:48:44.517Z]>,User,,,,,,,Sat Jun 27 16:32:09 CDT 2015,,,,"As per my last email, I love to singa. Interlinked.",,http://pbs.twimg.com/profile_images/1277218286791536641/y6zhqCRW_bigger.jpg,523,20,Name cannot be blank,"Channel-Port aux Basques, Newf",,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@ooohhh_billy,@ooohhh_billy,<[2020-09-26T15:48:44.569Z]>,User,,,,,,,Wed Jan 10 17:23:56 CST 2018,,,,"Hardcore Fitness Miramar #mightymiramar
Day Trade & Swing Trade stocks.
Luv Gibson Les Paul guitars!",,http://pbs.twimg.com/profile_images/1274465153082257408/OaMpjB60_bigger.jpg,661,156,Billy Thornton,"San Diego, CA",,,,0,11,11,0,11,11,0.000678,0,0.041776,16,2,0.622222,0.696429,0
@investorventure,@investorventure,"<[2020-09-26T15:48:44.569Z, 2020-09-26T15:50:09.124Z, 2020-09-26T15:50:21.587Z, 2020-09-26T15:53:07.104Z]>",User,,,,,,,Sat Nov 30 09:09:02 CST 2019,,,,🚩 RESEARCH BEFORE INVESTING. INFORMATION POSTED ISNT INVESTMENT ADVICE & IS SOLELY MY OPINION. IM NOT AN INVESTMENT ADVISOR AND I TRADE THE STOCKS MENTIONED 🚩,,http://pbs.twimg.com/profile_images/1287439063801364481/NpUZTcBu_bigger.jpg,2821,2931,🏹 VentureInvestors ©️,,,,,2,17,19,2,32,34,0.001042,0.001734,0.042212,16,2,0.869565,0.925,32
@jimcramer,@jimcramer,"<[2020-09-26T15:48:44.569Z, 2020-09-26T15:53:07.104Z, 2020-09-26T15:54:13.692Z]>",User,,,,,,,,,,,,,,,,,,,,,4,0,4,4,0,4,0.00121,0.005235,0,16,0,0,0,0
@stoolpresidente,@stoolpresidente,<[2020-09-26T15:48:44.569Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001722,0,16,0,0,0,0
@henrikfisker,@henrikfisker,"<[2020-09-26T15:48:44.569Z, 2020-09-26T15:50:09.124Z, 2020-09-26T15:50:21.587Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,3,0,3,0.000783,0.003462,0,16,0,0,0,0
@cassiuscuvee,@cassiuscuvee,<[2020-09-26T15:48:44.569Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001722,0,16,0,0,0,0
@outrageous__fun,@outrageous__fun,<[2020-09-26T15:48:44.569Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001722,0,16,0,0,0,0
@mrzackmorris,@mrzackmorris,<[2020-09-26T15:48:44.569Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001722,0,16,0,0,0,0
@baitsdinger,@baitsdinger,<[2020-09-26T15:48:44.569Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001722,0,16,0,0,0,0
@stevema41911913,@stevema41911913,<[2020-09-26T15:48:44.569Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001722,0,16,0,0,0,0
@interreal3306,@interreal3306,<[2020-09-26T15:48:44.569Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001722,0,16,0,0,0,0
@bigsur77131473,@bigsur77131473,<[2020-09-26T15:48:47.444Z]>,User,,,,,,,Wed Sep 16 02:10:41 CDT 2020,,,,I like building interesting things.,,http://pbs.twimg.com/profile_images/1306128636089573377/eB-X_7mG_bigger.jpg,52,5,Big Sur,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@gkicass,@gkicass,<[2020-09-26T15:48:48.766Z]>,User,,,,,,,Thu May 28 08:18:42 CDT 2020,,,,,,http://pbs.twimg.com/profile_images/1266049038144561152/NMKTNyxo_bigger.jpg,47,24,GOTRUMP45GO=KICASS,,,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@alaasl1,@alaasl1,,User,,,,,,,Thu May 05 02:50:31 CDT 2011,,,,Financial Inclusion | Digital | Agile | Prince2 Practitioner | PMO | Harvard Business School,,http://pbs.twimg.com/profile_images/857218618257534978/g1nHvJy4_bigger.jpg,376,96,Alaa Lasheen,Egypt,,,,0,1,1,0,1,1,0.000678,0,0.000281,10,3,0.411765,0.47619,0
@el_btc,@el_btc,<[2020-09-26T15:48:52.167Z]>,User,,,,,,,Thu Apr 16 15:35:48 CDT 2015,,,,Un Boricua en la luna. 🇵🇷Bitcoin entusiasta y 24/7 Crypto-trader desde 2013.📈📉 $crypto #Puñeta compra $BTC Hold. I literally don’t know what I’m doing.,,http://pbs.twimg.com/profile_images/1220025615069433857/F2ATOhv5_bigger.jpg,611,874,El ₿ori 🇵🇷 $BTC,United States,,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@pantaralynne,@pantaralynne,<[2020-09-26T15:48:52.571Z]>,User,,,,,,,Tue Feb 26 20:14:52 CST 2013,,,,"🌙 Pagan 🐱 Patriot 🌬 Weirdo 🐱 Witch🌙                      Published model living out in the sticks          
  #WWG1WGA",,http://pbs.twimg.com/profile_images/1271416499023032320/MjedZRPZ_bigger.jpg,1930,1053,Pantara,Earth,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@ironsevs,@ironsevs,<[2020-09-26T15:48:52.588Z]>,User,,,,,,,Sat Sep 12 17:58:47 CDT 2015,,,,No one is free until we are all free. Let’s raise up the black community so they may stand in the sunshine of true equality as we all weather the storm together,,http://pbs.twimg.com/profile_images/1268169956665032705/7yuGa7dj_bigger.jpg,4999,723,Ironsevs says BLM 🔞,"Massachusetts, USA",,,,0,3,3,0,3,3,0.000678,0,0.047677,14,2,0.625,0.7,0
@primaltrash,@primaltrash,<[2020-09-26T15:48:53.533Z]>,User,,,,,,,Tue Mar 03 21:57:35 CST 2009,,,,"i'm the wind, baby",,http://pbs.twimg.com/profile_images/1084921080039567361/FcaGO7EZ_bigger.jpg,246,610,👹Primal Trash👹,The Moon Rules #1,,,,0,2,2,0,2,2,0.000678,0,0.040918,6,2,0.625,0.7,0
@marlonsix60,@marlonsix60,<[2020-09-26T15:48:53.533Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000967,0.001687,0,6,0,0,0,0
@fighteer1,@fighteer1,<[2020-09-26T15:48:53.823Z]>,User,,,,,,,Tue Dec 21 08:10:30 CST 2010,,,,"chwm; Democrat; science, space, video game, electric vehicle enthusiast; TV Tropes moderator; employee of Olympus Corp. of the Americas. #blm",,http://pbs.twimg.com/profile_images/1622944025/John_Headshot_bigger.jpg,130,63,John M. Aldrich,"Bethlehem, PA",,,,0,2,2,0,2,2,0.000678,0,0.000289,10,3,0.428571,0.5,0
@anonyx10,@anonyx10,"<[2020-09-26T15:48:53.823Z, 2020-09-26T15:49:33.644Z, 2020-09-26T15:51:10.545Z, 2020-09-26T15:51:10.546Z, 2020-09-26T15:52:06.522Z, 2020-09-26T15:52:10.599Z, 2020-09-26T15:52:36.711Z]>",User,,,,,,,Thu Sep 27 20:04:57 CDT 2018,,,,,,http://pbs.twimg.com/profile_images/1112929061075062784/JHP-OL4r_bigger.png,399,1673,Æx,,,,,12,2,14,12,12,24,0.002701,0.003511,0.040918,10,2,0.625,0.7,30
@cleantechnica,@cleantechnica,"<[2020-09-26T15:48:53.823Z, 2020-09-26T15:49:33.644Z, 2020-09-26T15:51:10.546Z, 2020-09-26T15:52:06.522Z, 2020-09-26T15:52:10.599Z, 2020-09-26T15:52:36.711Z]>",User,,,,,,,,,,,,,,,,,,,,,1,0,1,6,0,6,0.001831,0.001687,0,10,0,0,0,0
@jvnixon,@jvnixon,<[2020-09-26T15:48:54.872Z]>,User,,,,,,,Thu Nov 24 18:04:05 CST 2011,,,,abstraction + representation learning. systematizing creativity. research @ google brain. formerly applied mathematics @ harvard.,,http://pbs.twimg.com/profile_images/1282148451942162432/OInv3JTv_bigger.jpg,296,647,Jeremy Nixon,"San Francisco, CA",,,,0,2,2,0,2,2,0.000678,0,0.040918,7,2,0.625,0.7,0
@jasoncrawford,@jasoncrawford,<[2020-09-26T15:48:54.872Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000967,0.001687,0,7,0,0,0,0
@3_alec_1,@3_alec_1,<[2020-09-26T15:48:55.307Z]>,User,,,,,,,Tue Jan 24 20:00:08 CST 2012,,,,UWO Kin Alum. ¯\_(ツ)_/¯,,http://pbs.twimg.com/profile_images/1304882628819120129/42rqwQ0V_bigger.jpg,303,144,Snizzlocke Holmes🤔🤔🕵️,"London, Ontario",,,,0,3,3,0,3,3,0.000678,0,0.047677,14,2,0.625,0.7,0
@cdeck80,@cdeck80,"<[2020-09-26T15:49:00.684Z, 2020-09-26T15:54:42.404Z]>",User,,,,,,,Sat Apr 07 22:59:29 CDT 2018,,,,,,http://pbs.twimg.com/profile_images/1288202306140491777/K7nAjcL6_bigger.jpg,80,5,Curt Anthony,,,,,1,3,4,1,3,4,0.000823,0.001698,0.041129,41,2,0.666667,0.75,0
@putyouradhere,@putyouradhere,"<[2020-09-26T15:49:00.684Z, 2020-09-26T15:54:42.404Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,2,0,2,0.001057,0.003394,0,41,0,0,0,0
@gasolinejoy,@gasolinejoy,"<[2020-09-26T15:49:00.684Z, 2020-09-26T15:54:42.404Z]>",User,,,,,,,,,,,,,,,,,,,,,2,0,2,2,0,2,0.001057,0.003394,0,41,0,0,0,0
@soundlesslyacry,@soundlesslyacry,<[2020-09-26T15:49:01.418Z]>,User,,,,,,,Sun Sep 06 19:55:52 CDT 2020,,,,severed from the pack,,http://pbs.twimg.com/profile_images/1303005095123128320/BfJLoMCs_bigger.jpg,26,0,Lazarus,,,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@chickentraderrr,@chickentraderrr,<[2020-09-26T15:49:01.847Z]>,User,,,,,,,Sat Feb 28 15:59:50 CST 2015,,,,buk-buk-buh-kok,,http://pbs.twimg.com/profile_images/871231796876365824/TxqP-sKX_bigger.jpg,92,60,chickentraderrr,the funny farm,,,,0,3,3,0,3,3,0.000678,0,0.044411,14,2,0.666667,0.75,0
@mythraindeer,@mythraindeer,<[2020-09-26T15:49:01.847Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000871,0.001831,0,14,0,0,0,0
@da_choosta,@da_choosta,<[2020-09-26T15:49:02.755Z]>,User,,,,,,,Mon May 13 17:55:53 CDT 2013,,,,"Jack of many, master of some.",,http://pbs.twimg.com/profile_images/907026344273354752/BLMTPeHw_bigger.jpg,179,16,Da.Choosta,"Inland Empire, CA",,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@mattcovfefe20,@mattcovfefe20,<[2020-09-26T15:49:03.232Z]>,User,,,,,,,Fri Jan 08 12:35:26 CST 2010,,,,"Rest in peace, Heather Heyer🕯️ #TheResistance #ProtectOurCare ⚕️ #FeedYourHead #StayHomeStaySafe #MaskUp #BlackLivesMatter",,http://pbs.twimg.com/profile_images/1296442954639380481/fAShiA6__bigger.jpg,16294,16477,〽️att Covfefe 👤👩👨📸📺 🌊😷,The Resistance,,,,0,3,3,0,3,3,0.000678,0,0.041128,8,2,0.625,0.7,0
@slpng_giants,@slpng_giants,<[2020-09-26T15:49:03.232Z]>,User,,,,,,,Wed Nov 16 18:31:26 CST 2016,,,,A campaign to make bigotry and sexism less profitable. “They’re the worst.” - Steve Bannon,,http://pbs.twimg.com/profile_images/1304655703903096832/Oj34RXtM_bigger.jpg,401,304218,Sleeping Giants,,,,,2,1,3,2,1,3,0.000871,0.003391,0.040849,8,2,0.571429,0.625,0
@monicasharma,@monicasharma,<[2020-09-26T15:49:03.266Z]>,User,,,,,,,Sat Apr 10 13:57:31 CDT 2010,,,,"Principal UX Researcher. Traveler. Foodie. Love art, dogs, and wellness",,http://pbs.twimg.com/profile_images/1285772313632227329/WxJFZAhC_bigger.jpg,584,715,Monica,"Orange County, California",,,,0,2,2,0,2,2,0.000678,0,0.081698,14,2,0.571429,0.625,0
@cormack_connor,@cormack_connor,<[2020-09-26T15:49:06.942Z]>,User,,,,,,,Mon Jun 15 16:12:27 CDT 2020,,,,,,http://pbs.twimg.com/profile_images/1272638394477056000/N_TfWx98_bigger.jpg,34,0,Connor Cormack,"Valleyview, Alberta",,,,0,1,1,0,1,1,0.000678,0,0.040849,14,2,0.571429,0.625,0
@tcwithers,@tcwithers,<[2020-09-26T15:49:08.802Z]>,User,,,,,,,Thu May 13 07:05:06 CDT 2010,,,,"Investor, consultant, Dad, CIO/CEO Twin Gryphon Advisors  Data vital, Culture/Teamwork critical. Problem solver, Wharton",,http://pbs.twimg.com/profile_images/1254083127456288773/-c7-YRdo_bigger.jpg,251,107,Tim Withers,MA,,,,0,11,11,0,11,11,0.000678,0,0.041555,9,2,0.823529,0.892857,0
@dsonar,@dsonar,<[2020-09-26T15:49:08.802Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001713,0,9,0,0,0,0
@mlevitt_np2013,@mlevitt_np2013,<[2020-09-26T15:49:08.802Z]>,User,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0.000731,0.001713,0,9,0,0,0,0
